contact_id,season_year,tenure,percent_total_used,flash_profit_loss,renewed
112248,2014-2015,19,0.558139535,-0.048837209,
21067931,2014-2015,1,0.813953488,-0.033156804,
134523,2014-2015,19,0.813953488,0,
22704865,2014-2015,1,0.069767442,0,
9352896,2014-2015,2,0.934883721,0,
104900,2014-2015,19,0.790697674,0,
1683190,2014-2015,5,0.941860465,0,
2005354,2014-2015,4,0.023255814,0,
21117709,2014-2015,1,0.779069767,0.000704722,
21090070,2014-2015,1,0.744186047,0,
19209020,2014-2015,1,0.906976744,0,
21092145,2014-2015,1,0.837209302,0,
134237,2014-2015,19,0.941860465,0,
7770842,2014-2015,5,0.837209302,0,
9218489,2014-2015,3,0,0,
305201,2014-2015,11,0.965116279,0,
21067868,2014-2015,1,0,0,
20425614,2014-2015,1,0.860465116,-0.00608229,
1853026,2014-2015,4,0.813953488,0.046511628,
2375019,2014-2015,4,0.627906977,0,
21093684,2014-2015,1,0.023255814,0,
21067924,2014-2015,1,0.837209302,0,
138274,2014-2015,19,0.23255814,-0.046511628,
227744,2014-2015,12,0.802325581,0,
21081173,2014-2015,1,0.488372093,-0.023023256,
9177896,2014-2015,3,0.976744186,0,
2357880,2014-2015,4,0.186046512,0.055456172,
133588,2014-2015,19,0.860465116,0,
2345657,2014-2015,4,0.895348837,0,
134600,2014-2015,19,0.918604651,0,
139462,2014-2015,19,0,0,
20550106,2014-2015,1,0.80620155,0.036135957,
114602,2014-2015,19,0.860465116,0,
1755641,2014-2015,5,0.906976744,0,
21120857,2014-2015,1,0.651162791,0,
186239,2014-2015,13,0.802325581,0,
19920011,2014-2015,1,0.796511628,0,
115570,2014-2015,19,0.813953488,0,
108948,2014-2015,19,0.918604651,0,
1817433,2014-2015,4,0.825581395,0,
21093872,2014-2015,1,0.802325581,0,
297069,2014-2015,11,0.046511628,-0.009043928,
113194,2014-2015,19,0.686046512,0,
20664876,2014-2015,1,0.139534884,0.072674419,
1749232,2014-2015,5,0.918604651,0,
8103259,2014-2015,5,0.709302326,0,
12084122,2014-2015,1,0.988372093,0,
7549001,2014-2015,3,0.186046512,0.018962433,
3973057,2014-2015,7,0.604651163,0,
211530,2014-2015,12,0.837209302,0,
210496,2014-2015,12,0.906976744,0,
13024012,2014-2015,1,0.813953488,0,
117682,2014-2015,19,0,0,
2331287,2014-2015,4,0.828488372,0,
12049111,2014-2015,1,0.360465116,0.073345259,
20340060,2014-2015,1,0.651162791,-0.049910555,
21006798,2014-2015,1,0.953488372,0,
123545,2014-2015,19,0.209302326,-0.04902577,
21082197,2014-2015,1,0.813953488,0,
9386262,2014-2015,2,0.918604651,0,
21017349,2014-2015,1,0.860465116,-0.008765653,
1672849,2014-2015,5,0.912790698,0,
21122912,2014-2015,1,0.895348837,0,
1786383,2014-2015,5,0.860465116,-0.088550984,
146238,2014-2015,15,0.906976744,0,
21101990,2014-2015,1,0.802325581,0.001788909,
21108673,2014-2015,1,0.26744186,0,
19984224,2014-2015,1,0.901162791,0,
145402,2014-2015,15,0.872093023,0,
120311,2014-2015,19,0.854651163,0,
144698,2014-2015,15,0.686046512,0,
4759175,2014-2015,7,0,0,
146491,2014-2015,15,0.76744186,0,
2778966,2014-2015,4,0.837209302,-0.009302326,
9341342,2014-2015,2,0.779069767,0,
2289124,2014-2015,4,0.656976744,-0.037745975,
9210530,2014-2015,3,0.76744186,0,
2373160,2014-2015,4,0,0,
9175693,2014-2015,3,0.23255814,-0.043604651,
144786,2014-2015,15,0.860465116,0,
1841167,2014-2015,4,0.709302326,0,
455881,2014-2015,9,0,0,
7308379,2014-2015,6,0,0,
140870,2014-2015,18,0.744186047,0,
143719,2014-2015,15,0.790697674,-0.008944544,
14739033,2014-2015,1,0.953488372,0.020789288,
1686164,2014-2015,5,0.686046512,0,
111566,2014-2015,19,0.813953488,0,
21123982,2014-2015,1,0.38372093,0,
5988983,2014-2015,3,0.918604651,0,
213037,2014-2015,12,0.674418605,0,
13524218,2014-2015,1,0.872093023,-0.00207012,
225005,2014-2015,12,0.854651163,0,
21010373,2014-2015,1,0.976744186,0,
149901,2014-2015,15,0.872093023,0,
20544914,2014-2015,1,0.620155039,0.464504284,
2376861,2014-2015,4,0,0,
135007,2014-2015,19,0.976744186,0,
568244,2014-2015,8,1,0,
115471,2014-2015,19,0.825581395,0,
343483,2014-2015,10,0.930232558,0,
222079,2014-2015,12,0,0,
110345,2014-2015,19,0,0,
21065483,2014-2015,1,0.924418605,0,
